Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleTestSuite,Chrome 70.0.3538.110,,2018-12-06 15:18:20,2018-12-06 15:18:41,21.151s,PASSED
,,,,,,
Test Cases/Case1,Chrome 70.0.3538.110,,2018-12-06 15:18:21,2018-12-06 15:18:41,20.633s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-06 15:18:21,2018-12-06 15:18:24,3.332s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-06 15:18:24,2018-12-06 15:18:38,13.223s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 15:18:38,2018-12-06 15:18:38,0.143s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 15:18:38,2018-12-06 15:18:40,1.898s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.173s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.077s,PASSED
verifyElementPresent,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.034s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.071s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.048s,PASSED
verifyElementPresent,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.019s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.145s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.084s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.063s,PASSED
verifyElementPresent,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:40,0.023s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 15:18:40,2018-12-06 15:18:41,0.129s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-06 15:18:41,2018-12-06 15:18:41,0.067s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 15:18:41,2018-12-06 15:18:41,0.059s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-06 15:18:41,2018-12-06 15:18:41,0.638s,PASSED
